Data_Size,Cmp_ISort,Cmp_QSort,Cmp_HSort,Cmp_SSort,Acs_ISort,Acs_QSort,Acs_HSort,Acs_SSort,Tim_ISort,Tim_QSort,Tim_HSort,Tim_SSort
3800,3632691.5,51006.9,80466,76638.3,10906512.2,126012.3,327693.2,324238.6,1.561511921882620000 ,0.012163090705871500 ,0.027572274208068800 ,0.023132348060607900 
3900,3819053.6,54390.5,82763.8,78354.3,11440809.7,129338.5,337425.8,325628.4,1.635559701919550000 ,0.013820385932922300 ,0.027642607688903800 ,0.022635960578918400 
4000,3992391.8,55687.5,85150,85789.4,11974917.9,134037.6,347050.4,360906.6,1.684404659271240000 ,0.012453722953796300 ,0.029520869255065900 ,0.025158786773681600 
4100,4205144.1,55992.5,87543.4,145406.4,12565759.7,136430.8,356875.6,688708.2,1.773054003715510000 ,0.012987947463989200 ,0.030683135986328100 ,0.048696541786193800 
4200,4384084.1,58871.4,89928.6,96522.8,13228654.6,141146.8,366667.8,403404.4,1.814507055282590000 ,0.013650369644165000 ,0.031183528900146400 ,0.028050374984741200 
4300,4621264.3,60033.8,92138,95102.5,13781985.9,144089.5,376214.4,393991.8,1.911688041687010000 ,0.014704179763793900 ,0.030779218673706000 ,0.027345108985900800 
4400,4831449.6,61891.1,94504.9,98221.6,14483568.8,145903.1,385914,402177.4,1.996319460868830000 ,0.013597989082336400 ,0.032269811630249000 ,0.028901696205139100 
4500,5024991.3,62201.8,96880.1,98546.2,15220861.6,150846.7,395925.4,408179,2.110221385955810000 ,0.015320587158203100 ,0.032967710494995100 ,0.029518485069274900 
4600,5296624.7,64371,99202.1,101777.8,15895188.6,154841.4,405696.2,403949.6,2.233820223808280000 ,0.014565467834472600 ,0.033293700218200600 ,0.029397273063659600 
4700,5499492.2,66919.3,101587,103991.9,16610564,164052.3,415497,430073.6,2.375864624977110000 ,0.016054296493530200 ,0.035536599159240700 ,0.030475425720214800 
4800,5777305,68840.5,103954.4,113696.9,17263237.9,164745.6,425573.4,469232.8,2.390852165222160000 ,0.015734958648681600 ,0.035340929031372000 ,0.032967686653137200 
4900,5975232.4,68931.2,106303.4,110142.8,17947727.1,168636.2,435477.4,452180,2.506092762947080000 ,0.015852236747741700 ,0.036150193214416500 ,0.033037734031677200 
5000,6244379.8,72684.4,108673.6,115172,18757382.6,171367.2,445461.8,477872.2,2.643461585044860000 ,0.016240668296813900 ,0.037031626701354900 ,0.035061788558959900 
